edicao,co_prova,sg_area,cor,rotulo,tipo_aplicacao,is_regular
2020,567,CH,Azul,Azul,regular,true
2020,568,CH,Amarela,Amarela,regular,true
2020,569,CH,Branca,Branca,regular,true
2020,570,CH,Rosa,Rosa,regular,true
2020,571,CH,Rosa,Rosa - Ampliada,acessibilidade,false
2020,572,CH,Rosa,Rosa - Superampliada,acessibilidade,false
2020,574,CH,Laranja,Laranja - Adaptada Ledor,acessibilidade,false
2020,575,CH,Verde,Verde - Videoprova - Libras,acessibilidade,false
2020,647,CH,Azul,Azul (Reaplicação),reaplicacao,false
2020,648,CH,Amarela,Amarela (Reaplicação),reaplicacao,false
2020,649,CH,Branca,Branca (Reaplicação),reaplicacao,false
2020,650,CH,Rosa,Rosa (Reaplicação),reaplicacao,false
2020,654,CH,Laranja,Laranja - Adaptada Ledor (Reaplicação),reaplicacao,false
2020,687,CH,Azul,Azul (Digital),digital,false
2020,688,CH,Amarela,Amarela (Digital),digital,false
2020,689,CH,Branca,Branca (Digital),digital,false
2020,690,CH,Rosa,Rosa (Digital),digital,false
2020,597,CN,Azul,Azul,regular,true
2020,598,CN,Amarela,Amarela,regular,true
2020,599,CN,Cinza,Cinza,regular,true
2020,600,CN,Rosa,Rosa,regular,true
2020,601,CN,Rosa,Rosa - Ampliada,acessibilidade,false
2020,602,CN,Rosa,Rosa - Superampliada,acessibilidade,false
2020,604,CN,Laranja,Laranja - Adaptada Ledor,acessibilidade,false
2020,605,CN,Verde,Verde - Videoprova - Libras,acessibilidade,false
2020,677,CN,Azul,Azul (Reaplicação),reaplicacao,false
2020,678,CN,Amarela,Amarela (Reaplicação),reaplicacao,false
2020,679,CN,Cinza,Cinza (Reaplicação),reaplicacao,false
2020,680,CN,Rosa,Rosa (Reaplicação),reaplicacao,false
2020,684,CN,Laranja,Laranja - Adaptada Ledor (Reaplicação),reaplicacao,false
2020,699,CN,Azul,Azul (Digital),digital,false
2020,700,CN,Amarela,Amarela (Digital),digital,false
2020,701,CN,Rosa,Rosa (Digital),digital,false
2020,702,CN,Cinza,Cinza (Digital),digital,false
2020,577,LC,Azul,Azul,regular,true
2020,578,LC,Amarela,Amarela,regular,true
2020,579,LC,Rosa,Rosa,regular,true
2020,580,LC,Branca,Branca,regular,true
2020,581,LC,Rosa,Rosa - Ampliada,acessibilidade,false
2020,582,LC,Rosa,Rosa - Superampliada,acessibilidade,false
2020,584,LC,Laranja,Laranja - Adaptada Ledor,acessibilidade,false
2020,585,LC,Verde,Verde - Videoprova - Libras,acessibilidade,false
2020,657,LC,Azul,Azul (Reaplicação),reaplicacao,false
2020,658,LC,Amarela,Amarela (Reaplicação),reaplicacao,false
2020,659,LC,Rosa,Rosa (Reaplicação),reaplicacao,false
2020,660,LC,Branca,Branca (Reaplicação),reaplicacao,false
2020,664,LC,Laranja,Laranja - Adaptada Ledor (Reaplicação),reaplicacao,false
2020,691,LC,Azul,Azul (Digital),digital,false
2020,692,LC,Amarela,Amarela (Digital),digital,false
2020,693,LC,Branca,Branca (Digital),digital,false
2020,694,LC,Rosa,Rosa (Digital),digital,false
2020,587,MT,Azul,Azul,regular,true
2020,588,MT,Amarela,Amarela,regular,true
2020,589,MT,Rosa,Rosa,regular,true
2020,590,MT,Cinza,Cinza,regular,true
2020,591,MT,Rosa,Rosa - Ampliada,acessibilidade,false
2020,592,MT,Rosa,Rosa - Superampliada,acessibilidade,false
2020,594,MT,Laranja,Laranja - Adaptada Ledor,acessibilidade,false
2020,595,MT,Verde,Verde - Videoprova - Libras,acessibilidade,false
