base,variavel,codigo,rotulo
itens_prova,IN_ITEM_ABAN,0,Não
itens_prova,IN_ITEM_ABAN,1,Sim
itens_prova,IN_ITEM_ADAPTADO,0,Não
itens_prova,IN_ITEM_ADAPTADO,1,Sim
itens_prova,SG_AREA,CH,Ciências Humanas
itens_prova,SG_AREA,CN,Ciências da Natureza
itens_prova,SG_AREA,LC,Linguagens e Códigos
itens_prova,SG_AREA,MT,Matemática
itens_prova,TP_LINGUA,0,Inglês
itens_prova,TP_LINGUA,1,Espanhol
participantes,CO_UF_PROVA,11,Rondônia
participantes,CO_UF_PROVA,12,Acre
participantes,CO_UF_PROVA,13,Amazonas
participantes,CO_UF_PROVA,14,Roraima
participantes,CO_UF_PROVA,15,Pará
participantes,CO_UF_PROVA,16,Amapá
participantes,CO_UF_PROVA,17,Tocantins
participantes,CO_UF_PROVA,21,Maranhão
participantes,CO_UF_PROVA,22,Piauí
participantes,CO_UF_PROVA,23,Ceará
participantes,CO_UF_PROVA,24,Rio Grande do Norte
participantes,CO_UF_PROVA,25,Paraíba
participantes,CO_UF_PROVA,26,Pernambuco
participantes,CO_UF_PROVA,27,Alagoas
participantes,CO_UF_PROVA,28,Sergipe
participantes,CO_UF_PROVA,29,Bahia
participantes,CO_UF_PROVA,31,Minas Gerais
participantes,CO_UF_PROVA,32,Espírito Santo
participantes,CO_UF_PROVA,33,Rio de Janeiro
participantes,CO_UF_PROVA,35,São Paulo
participantes,CO_UF_PROVA,41,Paraná
participantes,CO_UF_PROVA,42,Santa Catarina
participantes,CO_UF_PROVA,43,Rio Grande do Sul
participantes,CO_UF_PROVA,50,Mato Grosso do Sul
participantes,CO_UF_PROVA,51,Mato Grosso
participantes,CO_UF_PROVA,52,Goiás
participantes,CO_UF_PROVA,53,Distrito Federal
participantes,IN_TREINEIRO,0,Não
participantes,IN_TREINEIRO,1,Sim
participantes,Q001,A,Nunca estudou.
participantes,Q001,B,Não completou a 4ª série/5º ano do Ensino Fundamental.
participantes,Q001,C,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental."
participantes,Q001,D,"Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio."
participantes,Q001,E,"Completou o Ensino Médio, mas não completou a Faculdade."
participantes,Q001,F,"Completou a Faculdade, mas não completou a Pós-graduação."
participantes,Q001,G,Completou a Pós-graduação.
participantes,Q001,H,Não sei.
participantes,Q002,A,Nunca estudou.
participantes,Q002,B,Não completou a 4ª série/5º ano do Ensino Fundamental.
participantes,Q002,C,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental."
participantes,Q002,D,"Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio."
participantes,Q002,E,"Completou o Ensino Médio, mas não completou a Faculdade."
participantes,Q002,F,"Completou a Faculdade, mas não completou a Pós-graduação."
participantes,Q002,G,Completou a Pós-graduação.
